Date,Month,Metro_Week_No,Temperature_Max,Temperature_Min,Relative_Humidity_Morning,Relative_Humidity_Afternoon,Rainfall,No_of_Rainy_Days,Sunshine_Hrs,Wind_Velocity,Evap,year,week,sowing_type,larva_count,time_idx,month2
01-01-2015,Jan,1,19.10,11.50,93.00,77.00,21.80,3,2.80,6.00,1.40,2015,1,early sowing,0,0,1
08-01-2015,Jan,2,15.70,8.40,95.00,75.00,0.00,0,3.00,3.50,0.80,2015,2,early sowing,0,1,1
15-01-2015,Jan,3,15.80,8.10,95.00,71.00,0.00,0,2.50,3.40,1.20,2015,3,early sowing,0,2,1
22-01-2015,Jan,4,18.40,8.60,95.00,75.00,11.00,1,3.60,4.80,1.20,2015,4,early sowing,0,3,1
29-01-2015,Jan-Feb,5,18.40,8.10,88.00,62.00,0.00,0,4.70,5.30,1.50,2015,5,early sowing,0,4,1
05-02-2015,Feb,6,22.40,7.40,94.00,54.00,0.00,0,3.90,7.00,2.10,2015,6,early sowing,0,5,2
12-02-2015,Feb,7,23.20,9.70,88.00,51.00,0.00,0,3.90,5.70,2.00,2015,7,early sowing,0,6,2
19-02-2015,Feb,8,27.10,13.40,90.00,55.00,0.20,1,3.30,5.50,2.10,2015,8,early sowing,0,7,2
26-02-2015,Feb-Mar,9,23.30,13.00,92.00,61.00,67.90,5,4.90,5.90,2.80,2015,9,early sowing,0,8,2
05-03-2015,Mar,10,25.20,10.20,89.00,45.00,0.00,0,8.80,5.80,2.90,2015,10,early sowing,0,9,3
12-03-2015,Mar,11,26.90,12.70,90.00,51.00,1.20,1,6.60,5.00,2.90,2015,11,early sowing,0,10,3
19-03-2015,Mar,12,29.30,13.70,88.00,45.00,0.00,0,9.50,4.60,3.50,2015,12,early sowing,0,11,3
26-03-2015,Mar-Apr,13,31.30,17.70,86.00,44.00,26.20,1,7.70,5.10,4.20,2015,13,early sowing,0,12,3
02-04-2015,Apr,14,29.20,15.80,86.00,45.00,18.90,3,6.40,5.00,4.30,2015,14,early sowing,0,13,4
09-04-2015,Apr,15,31.90,16.60,82.00,36.00,0.00,0,8.30,5.20,4.90,2015,15,early sowing,0,14,4
16-04-2015,Apr,16,34.50,18.50,74.00,35.00,0.00,0,8.20,5.40,6.10,2015,16,early sowing,0,15,4
23-04-2015,Apr,17,34.10,19.20,65.00,34.00,1.20,1,9.50,8.60,7.30,2015,17,early sowing,0,16,4
30-04-2015,Apr-May,18,35.40,18.30,70.00,29.00,18.40,1,10.40,5.70,7.40,2015,18,early sowing,0,17,4
07-05-2015,May,19,37.90,24.50,69.00,39.00,9.00,2,8.70,6.70,7.50,2015,19,early sowing,0,18,5
14-05-2015,May,20,36.80,22.50,70.00,37.00,1.80,1,10.70,6.50,7.60,2015,20,early sowing,0,19,5
21-05-2015,May,21,41.10,22.50,67.00,31.00,0.90,0,9.40,6.70,9.80,2015,21,early sowing,0,20,5
28-05-2015,May-Jun,22,39.60,22.20,63.00,31.00,0.00,0,8.30,6.30,9.30,2015,22,early sowing,0,21,5
